country,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Domestic Aviation,Ground Transport,Industry,Power,Residential,Country,Agriculture,Building,Bunker Fuels,Electricity/Heat,Energy,Fugitive Emissions,Industrial Processes,Land-Use Change and Forestry,Manufacturing/Construction,Other Fuel Combustion,Total excluding LUCF,Total including LUCF,Transportation,Waste
Brazil,2020-04-20,-53.0,-11.0,-47.0,-53.0,-39.0,17.0,0.00220856,0.3796268,0.24091165,0.10452821,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-21,-71.0,-37.0,-51.0,-68.0,-67.0,23.0,0.00231438,0.16352813,0.27126605,0.11769856,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-22,-53.0,-15.0,-45.0,-51.0,-34.0,17.0,0.00289696,0.42120135,0.27095982,0.11756569,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-23,-56.0,-17.0,-44.0,-54.0,-36.0,18.0,0.00307219,0.37251719,0.28000123,0.12148863,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-24,-55.0,-14.0,-48.0,-50.0,-32.0,18.0,0.00318487,0.43969144,0.28289464,0.12274404,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-25,-59.0,-14.0,-55.0,-48.0,-25.0,15.0,0.00173542,0.31964761,0.28451693,0.12344793,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-26,-65.0,-22.0,-61.0,-54.0,-23.0,14.0,0.00184611,0.12446757,0.27412276,0.11893805,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-27,-54.0,-19.0,-50.0,-51.0,-30.0,17.0,0.0026055999999999996,0.4060458,0.27941170000000004,0.12123284,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-28,-53.0,-16.0,-48.0,-50.0,-33.0,13.0,0.00262314,0.43170911,0.28408252,0.12325944,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-04-29,-52.0,-15.0,-43.0,-50.0,-32.0,17.0,0.00316747,0.44739604,0.28628193,0.12421374,0.10395198,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
